onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	88	S110_2	FALSE	.	7	.	.	.	.
9541	163	S110_2	FALSE	.	0	t.01.01	1626	11167	9541
9730	164	S110_2	FALSE	2	189	t.01.01	1626	11167	9541
9926	312	S110_2	FALSE	5	385	t.01.01	1626	11167	9541
10259	219	S110_2	FALSE	3	718	t.01.01	1626	11167	9541
10515	113	S110_2	FALSE	5	974	t.01.01	1626	11167	9541
10653	471	S110_2	FALSE	7	1112	t.01.01	1626	11167	9541
11162	103	S110_2	FALSE	2	1621	t.01.01	1626	11167	9541
#VALUE!	91	S110_2	FALSE	.	7	.	.	.	.
12710	34	S110_2	FALSE	1	0	t.01.02	2591	15301	12710
12769	186	S110_2	FALSE	2	59	t.01.02	2591	15301	12710
12992	298	S110_2	FALSE	1	282	t.01.02	2591	15301	12710
13317	236	S110_2	FALSE	2	607	t.01.02	2591	15301	12710
13580	218	S110_2	FALSE	4	870	t.01.02	2591	15301	12710
13834	404	S110_2	FALSE	5	1124	t.01.02	2591	15301	12710
14277	407	S110_2	FALSE	9	1567	t.01.02	2591	15301	12710
14711	201	S110_2	FALSE	6	2001	t.01.02	2591	15301	12710
14938	97	S110_2	FALSE	9	2228	t.01.02	2591	15301	12710
15063	298	S110_2	FALSE	10	2353	t.01.02	2591	15301	12710
#VALUE!	34	S110_2	FALSE	.	7	.	.	.	.
#VALUE!	35	S110_2	FALSE	.	60	.	.	.	.
16830	188	S110_2	FALSE	1	0	t.01.03	2506	19336	16830
17037	152	S110_2	FALSE	2	207	t.01.03	2506	19336	16830
17213	235	S110_2	FALSE	3	383	t.01.03	2506	19336	16830
17475	339	S110_2	FALSE	5	645	t.01.03	2506	19336	16830
17839	175	S110_2	FALSE	7	1009	t.01.03	2506	19336	16830
18036	189	S110_2	FALSE	8	1206	t.01.03	2506	19336	16830
18250	448	S110_2	FALSE	10	1420	t.01.03	2506	19336	16830
18731	211	S110_2	FALSE	7	1901	t.01.03	2506	19336	16830
18964	202	S110_2	FALSE	6	2134	t.01.03	2506	19336	16830
19206	214	S110_2	FALSE	10	2376	t.01.03	2506	19336	16830
#VALUE!	85	S110_2	FALSE	.	7	.	.	.	.
20883	294	S110_2	FALSE	1	0	t.01.04	2423	23306	20883
21201	306	S110_2	FALSE	3	318	t.01.04	2423	23306	20883
21536	260	S110_2	FALSE	5	653	t.01.04	2423	23306	20883
21814	263	S110_2	FALSE	5	931	t.01.04	2423	23306	20883
22092	239	S110_2	FALSE	5	1209	t.01.04	2423	23306	20883
22365	252	S110_2	FALSE	8	1482	t.01.04	2423	23306	20883
22648	254	S110_2	FALSE	6	1765	t.01.04	2423	23306	20883
22955	255	S110_2	FALSE	11	2072	t.01.04	2423	23306	20883
23226	172	S110_2	FALSE	10	2343	t.01.04	2423	23306	20883
#VALUE!	87	S110_2	FALSE	.	7	.	.	.	.
24836	203	S110_2	FALSE	3	0	t.01.05	1976	26812	24836
25055	229	S110_2	FALSE	2	219	t.01.05	1976	26812	24836
25312	303	S110_2	FALSE	5	476	t.01.05	1976	26812	24836
25648	280	S110_2	FALSE	7	812	t.01.05	1976	26812	24836
25951	210	S110_2	FALSE	5	1115	t.01.05	1976	26812	24836
26184	135	S110_2	FALSE	7	1348	t.01.05	1976	26812	24836
26344	109	S110_2	FALSE	10	1508	t.01.05	1976	26812	24836
26484	264	S110_2	FALSE	12	1648	t.01.05	1976	26812	24836
26769	127	S110_2	FALSE	11	1933	t.01.05	1976	26812	24836
#VALUE!	90	S110_2	FALSE	.	7	.	.	.	.
28356	186	S110_2	FALSE	4	0	t.01.06	2441	30797	28356
28558	154	S110_2	FALSE	3	202	t.01.06	2441	30797	28356
28734	272	S110_2	FALSE	2	378	t.01.06	2441	30797	28356
29032	247	S110_2	FALSE	5	676	t.01.06	2441	30797	28356
29300	235	S110_2	FALSE	6	944	t.01.06	2441	30797	28356
29546	302	S110_2	FALSE	5	1190	t.01.06	2441	30797	28356
29870	323	S110_2	FALSE	7	1514	t.01.06	2441	30797	28356
30215	177	S110_2	FALSE	7	1859	t.01.06	2441	30797	28356
30424	78	S110_2	FALSE	10	2068	t.01.06	2441	30797	28356
30531	209	S110_2	FALSE	11	2175	t.01.06	2441	30797	28356
30757	120	S110_2	FALSE	11	2401	t.01.06	2441	30797	28356
#VALUE!	86	S110_2	FALSE	.	7	.	.	.	.
32326	195	S110_2	FALSE	2	0	t.01.07	2196	34522	32326
32537	238	S110_2	FALSE	3	211	t.01.07	2196	34522	32326
32798	228	S110_2	FALSE	4	472	t.01.07	2196	34522	32326
33050	205	S110_2	FALSE	6	724	t.01.07	2196	34522	32326
33288	134	S110_2	FALSE	7	962	t.01.07	2196	34522	32326
33451	307	S110_2	FALSE	9	1125	t.01.07	2196	34522	32326
33783	122	S110_2	FALSE	10	1457	t.01.07	2196	34522	32326
33949	484	S110_2	FALSE	7	1623	t.01.07	2196	34522	32326
34483	133	S110_2	FALSE	9	2157	t.01.07	2196	34522	32326
#VALUE!	86	S110_2	FALSE	.	7	.	.	.	.
36062	208	S110_2	FALSE	2	0	t.01.08	2778	38840	36062
36284	152	S110_2	FALSE	3	222	t.01.08	2778	38840	36062
36457	222	S110_2	FALSE	1	395	t.01.08	2778	38840	36062
36718	271	S110_2	FALSE	4	656	t.01.08	2778	38840	36062
37017	373	S110_2	FALSE	6	955	t.01.08	2778	38840	36062
37410	239	S110_2	FALSE	5	1348	t.01.08	2778	38840	36062
37690	689	S110_2	FALSE	9	1628	t.01.08	2778	38840	36062
38403	495	S110_2	FALSE	10	2341	t.01.08	2778	38840	36062
#VALUE!	83	S110_2	FALSE	.	7	.	.	.	.
40382	185	S110_2	FALSE	1	0	t.01.09	4874	45256	40382
40589	224	S110_2	FALSE	2	207	t.01.09	4874	45256	40382
40839	555	S110_2	FALSE	4	457	t.01.09	4874	45256	40382
41416	254	S110_2	FALSE	5	1034	t.01.09	4874	45256	40382
41697	174	S110_2	FALSE	6	1315	t.01.09	4874	45256	40382
41893	284	S110_2	FALSE	8	1511	t.01.09	4874	45256	40382
42191	190	S110_2	FALSE	7	1809	t.01.09	4874	45256	40382
42408	300	S110_2	FALSE	6	2026	t.01.09	4874	45256	40382
42734	277	S110_2	FALSE	5	2352	t.01.09	4874	45256	40382
43035	242	S110_2	FALSE	6	2653	t.01.09	4874	45256	40382
43299	373	S110_2	FALSE	7	2917	t.01.09	4874	45256	40382
43696	346	S110_2	FALSE	8	3314	t.01.09	4874	45256	40382
44073	1055	S110_2	FALSE	10	3691	t.01.09	4874	45256	40382
45141	203	S110_2	FALSE	10	4759	t.01.09	4874	45256	40382
#VALUE!	86	S110_2	FALSE	.	7	.	.	.	.
46787	223	S110_2	FALSE	1	0	t.01.10	1201	47988	46787
47042	193	S110_2	FALSE	4	255	t.01.10	1201	47988	46787
47256	145	S110_2	FALSE	3	469	t.01.10	1201	47988	46787
47435	235	S110_2	FALSE	6	648	t.01.10	1201	47988	46787
47694	165	S110_2	FALSE	8	907	t.01.10	1201	47988	46787
47881	195	S110_2	FALSE	9	1094	t.01.10	1201	47988	46787
#VALUE!	84	S110_2	FALSE	.	7	.	.	.	.
49523	203	S110_2	FALSE	1	0	t.01.11	3249	52772	49523
49761	219	S110_2	FALSE	2	238	t.01.11	3249	52772	49523
50008	280	S110_2	FALSE	3	485	t.01.11	3249	52772	49523
50327	214	S110_2	FALSE	5	804	t.01.11	3249	52772	49523
50552	164	S110_2	FALSE	4	1029	t.01.11	3249	52772	49523
50755	306	S110_2	FALSE	9	1232	t.01.11	3249	52772	49523
51078	175	S110_2	FALSE	7	1555	t.01.11	3249	52772	49523
51276	1244	S110_2	FALSE	9	1753	t.01.11	3249	52772	49523
52542	322	S110_2	FALSE	8	3019	t.01.11	3249	52772	49523
#VALUE!	90	S110_2	FALSE	.	7	.	.	.	.
54310	186	S110_2	FALSE	1	0	t.01.12	3922	58232	54310
54519	250	S110_2	FALSE	2	209	t.01.12	3922	58232	54310
54793	199	S110_2	FALSE	3	483	t.01.12	3922	58232	54310
55013	283	S110_2	FALSE	5	703	t.01.12	3922	58232	54310
55305	148	S110_2	FALSE	5	995	t.01.12	3922	58232	54310
55479	262	S110_2	FALSE	9	1169	t.01.12	3922	58232	54310
55759	176	S110_2	FALSE	7	1449	t.01.12	3922	58232	54310
55948	323	S110_2	FALSE	6	1638	t.01.12	3922	58232	54310
56322	403	S110_2	FALSE	11	2012	t.01.12	3922	58232	54310
56746	252	S110_2	FALSE	13	2436	t.01.12	3922	58232	54310
57021	200	S110_2	FALSE	15	2711	t.01.12	3922	58232	54310
