onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_INTEREST_AREA_RUN_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	83	S31_5	FALSE	.	.	7	.	.	.	.
9537	183	S31_5	FALSE	.	.	0	t.05.01	3753	13291	9537
9747	123	S31_5	FALSE	2	1	210	t.05.01	3753	13291	9537
9884	152	S31_5	FALSE	1	1	347	t.05.01	3753	13291	9537
10051	342	S31_5	FALSE	1	1	514	t.05.01	3753	13291	9537
10418	342	S31_5	FALSE	2	2	881	t.05.01	3753	13291	9537
10792	195	S31_5	FALSE	3	1	1255	t.05.01	3753	13291	9537
10995	187	S31_5	FALSE	3	1	1458	t.05.01	3753	13291	9537
11208	395	S31_5	FALSE	4	1	1671	t.05.01	3753	13291	9537
11627	162	S31_5	FALSE	6	1	2090	t.05.01	3753	13291	9537
11809	89	S31_5	FALSE	5	1	2272	t.05.01	3753	13291	9537
11920	267	S31_5	FALSE	4	2	2383	t.05.01	3753	13291	9537
12220	312	S31_5	FALSE	6	2	2683	t.05.01	3753	13291	9537
12554	309	S31_5	FALSE	7	1	3017	t.05.01	3753	13291	9537
12888	415	S31_5	FALSE	9	1	3351	t.05.01	3753	13291	9537
13354	32	S31_5	FALSE	2	3	3817	t.05.01	3753	13291	9537
#VALUE!	83	S31_5	FALSE	.	.	7	.	.	.	.
14824	204	S31_5	FALSE	1	1	0	t.05.02	3385	18210	14824
15050	145	S31_5	FALSE	1	1	226	t.05.02	3385	18210	14824
15219	266	S31_5	FALSE	2	1	395	t.05.02	3385	18210	14824
15512	254	S31_5	FALSE	4	1	688	t.05.02	3385	18210	14824
15788	165	S31_5	FALSE	5	1	964	t.05.02	3385	18210	14824
15961	343	S31_5	FALSE	4	2	1137	t.05.02	3385	18210	14824
16328	259	S31_5	FALSE	6	1	1504	t.05.02	3385	18210	14824
