	text	onset	duration
0	could	9.758	0.154
1	could	11.59	0.164
2	could	12.081	0.168
3	humans	9.935	0.196
4	humans	11.912	0.144
5	on	10.162	0.223
6	on	11.045	0.216
7	live	10.399	0.163
8	mars	10.588	0.165
9	some	10.775	0.247
10	some	11.287	0.245
11	scientists	13.675	0.261
12	ask	13.966	0.185
13	ask	16.028	0.18
14	this	14.278	0.173
15	because	14.479	0.265
16	because	14.768	0.186
17	and	14.978	0.211
18	are	15.215	0.167
19	similar	15.404	0.177
20	mars	15.607	0.179
21	earth	15.813	0.158
22	similar	17.645	0.199
23	similar	17.869	0.036
24	similar	22.096	0.204
25	similar	22.325	0.172
26	earth	17.946	0.212
27	day	18.244	0.235
28	day	19.014	0.146
29	mars	18.503	0.183
30	mars	19.351	0.175
31	mars	21.691	0.179
32	mars	21.894	0.159
33	to	18.719	0.261
34	to	19.2	0.119
35	is	19.56	0.248
36	is	20.932	0.228
37	is	21.491	0.176
38	hours	19.834	0.243
39	hours	21.2	0.249
40	about	20.1	0.22
41	about	20.666	0.251
42	day	20.44	0.204
43	also	23.962	0.18
44	also	24.171	0.058
45	planets	24.267	0.223
46	near	24.61	0.242
47	sun	24.879	0.218
48	solar	25.126	0.276
49	solar	26.492	0.112
50	are	25.436	0.301
51	the	25.759	0.219
52	in	26.004	0.185
53	our	26.212	0.256
54	both	26.67	0.082
55	planet	28.187	0.167
56	planet	29.002	0.143
57	earth	28.394	0.137
58	earth	28.549	0.167
59	is	28.74	0.235
60	the	29.172	0.235
61	planet	29.436	0.193
62	mars	29.659	0.215
63	the	29.912	0.227
64	also	31.762	0.219
65	also	34.908	0.134
66	axial	32.008	0.156
67	axial	32.606	0.336
68	has	32.185	0.216
69	tilt	32.428	0.155
70	tilt	33.144	0.256
71	similar	33.432	0.151
72	similar	34.265	0.214
73	similar	34.5	0.201
74	earth	33.61	0.193
75	earth	34.731	0.135
76	axial	33.829	0.176
77	axial	34.019	0.217
78	tilt	36.523	0.18
79	tilt	37.157	0.156
80	an	36.741	0.173
81	axial	36.938	0.185
82	both	37.338	0.204
83	both	39.431	0.178
84	planets	37.566	0.149
85	with	37.743	0.174
86	with	38.813	0.162
87	seasons	37.938	0.145
88	seasons	38.499	0.286
89	temperature	38.109	0.361
90	temperature	39.004	0.383
91	like	41.495	0.221
92	like	42.384	0.183
93	just	41.848	0.153
94	just	42.024	0.328
95	mars	42.593	0.245
96	cold	42.863	0.174
97	has	43.057	0.215
98	and	43.303	0.222
99	winters	43.549	0.226
100	warmer	43.813	0.151
101	warmer	43.983	0.193
102	earth	44.237	0.123
103	summers	44.417	0.064
104	earth	46.137	0.199
105	earth	49.306	0.157
106	mars	46.361	0.252
107	winds	46.636	0.183
108	winds	47.76	0.211
109	has	46.84	0.158
110	weather	47.036	0.538
111	weather	47.598	0.142
112	weather	48.011	0.144
113	weather	48.968	0.302
114	and	48.433	0.15
115	volcanoes	48.607	0.33
116	in	51.122	0.215
117	in	52.319	0.1
118	ways	51.371	0.138
119	earth	51.536	0.181
120	are	51.744	0.155
121	different	51.921	0.165
122	mars	52.11	0.176
123	include	53.841	0.171
124	include	54.292	0.262
125	include	57.211	0.214
126	differences	54.052	0.215
127	temperature	54.581	0.251
128	temperature	54.858	0.176
129	temperature	56.812	0.198
130	temperature	57.045	0.142
131	temperature	57.46	0.173
132	length	55.057	0.149
133	year	55.247	0.241
134	a	55.509	0.315
135	and	55.859	0.259
136	and	56.132	0.287
137	gravity	56.445	0.325
138	gravity	57.673	0.2
139	gravity	57.896	0.251
140	average	59.957	0.161
141	average	64.384	0.135
142	temperature	60.144	0.159
143	temperature	64.136	0.213
147	deg	60.563	0.346
148	deg	61.145	0.172
149	deg	61.333	0.335
150	on	61.687	0.313
151	mars	62.025	0.184
153	f	62.452	0.287
154	but	62.766	0.232
155	deg	63.023	0.215
156	on	63.257	0.227
157	f	63.518	0.3
158	martian	66.24	0.194
159	martian	69.413	0.171
160	martian	69.609	0.039
161	is	66.459	0.208
162	is	66.916	0.171
163	almost	66.69	0.205
164	twice	67.111	0.191
165	long	67.329	0.28
166	earth	67.635	0.178
167	earth	68.128	0.188
168	earth	68.593	0.52
169	an	67.836	0.266
170	year	69.136	0.223
171	earth	71.1	0.213
172	earth	73.912	0.096
173	gravity	71.337	0.198
174	gravity	71.56	0.227
175	gravity	73.587	0.3
176	gravity	75.167	0.108
177	almost	71.805	0.252
178	times	72.082	0.383
179	times	72.484	0.257
180	times	73.277	0.276
181	stronger	72.765	0.264
182	stronger	74.054	0.166
183	martian	73.066	0.166
184	martian	74.246	0.183
185	than	74.452	0.193
186	gravity	74.683	0.195
187	is	74.932	0.211
188	the	76.914	0.159
189	similarities	77.101	0.234
190	can	77.362	0.214
191	go	77.601	0.303
192	go	79.015	0.162
193	mars	77.925	0.136
194	humans	78.097	0.081
195	humans	79.395	0.166
196	live	78.212	0.23
197	live	78.798	0.178
198	live	79.219	0.123
199	to	78.47	0.301
200	scientists	81.204	0.196
201	scientists	81.425	0.164
202	scientists	82.468	0.249
203	answer	81.625	0.182
204	answer	82.122	0.178
205	want	81.844	0.253
206	this	82.324	0.087
207	oversees	84.165	0.211
208	oversees	84.478	0.157
209	oversees	84.658	0.149
210	nasa	84.396	0.047
211	nasa	86.202	0.062
212	us	84.834	0.192
213	research	85.058	0.28
214	research	85.979	0.175
215	on	85.362	0.161
216	exploration	85.55	0.19
217	space	85.762	0.195
218	scientists	87.701	0.175
219	scientists	88.279	0.175
220	nasa	87.914	0.133
221	nasa	88.066	0.184
222	devices	88.478	0.202
223	devices	88.875	0.169
224	send	88.696	0.155
225	called	89.067	0.174
226	called	89.632	0.201
227	spacecraft	89.266	0.158
228	spacecraft	89.444	0.164
229	spacecraft	90.031	0.198
230	spacecraft	90.647	0.25
231	to	89.873	0.133
232	to	90.253	0.156
233	explore	90.432	0.175
234	spacecraft	92.338	0.179
235	spacecraft	92.717	0.199
236	spacecraft	93.117	0.242
237	spacecraft	93.382	0.386
238	the	92.556	0.134
239	carry	92.942	0.152
240	carry	93.795	0.21
241	rovers	94.03	0.299
242	that	94.349	0.237
243	rove	94.611	0.211
244	rove	95.114	0.231
245	rove	95.362	0.167
246	rove	96.034	0.159
247	can	94.843	0.247
248	or	95.551	0.304
249	move	95.876	0.13
250	explore	97.643	0.175
251	explore	98.978	0.181
252	wheeled	97.85	0.201
253	these	98.074	0.173
254	rovers	98.28	0.295
255	can	98.732	0.223
256	characteristics	99.184	0.34
257	of	99.549	0.385
258	planet	99.958	0.17
259	the	100.149	0.149
260	take	101.813	0.174
261	take	102.605	0.252
262	they	102.012	0.266
263	can	102.3	0.162
264	of	102.882	0.2
265	of	105.015	0.158
266	mountains	103.104	0.176
267	mountains	103.307	0.222
268	and	103.558	0.181
269	and	104.036	0.167
270	and	104.477	0.178
271	plains	103.762	0.251
272	of	106.616	0.209
273	of	107.074	0.321
274	one	106.85	0.199
275	these	107.42	0.255
276	these	109.66	0.032
277	nasa	107.699	0.24
278	nasa	107.957	0.154
279	nasa	109.368	0.081
280	rovers	108.136	0.174
281	rovers	109.067	0.268
282	named	108.336	0.282
283	curiosity	108.641	0.401
284	curiosity	109.492	0.121
