text	onset	duration
design	9.77	0.6850000000000005
electrical	10.477	0.256
circuits	10.772	0.266
power	11.069	0.27
homes	11.357	0.5850000000000009
buildings	11.969	0.5230000000000015
electrical	14.023	0.3520000000000003
circuits	14.41	0.245
are	14.683	0.2810000000000006
paths	14.997	0.315
electricity	15.349	0.503
flows	16.249	0.13
through	16.562	0.52
closed	17.395	0.283
this	19.294	0.2259999999999991
means	19.542	0.13400000000000034
that	19.695	0.209
entire	19.927	0.132
path	20.211	0.046
be	20.438	0.182
connected	20.656	0.6850000000000023
like	20.959	1.4160000000000004
loop	21.584	0.588000000000001
imagine	24.364	0.2270000000000003
a	24.659	0.13200000000000145
circuit	24.916	0.205
made	25.283	0.058
battery	25.531	0.174
a	25.74	0.178
piece	26.101	0.146
wire	26.265	1.065
connect	29.318	0.28200000000000003
each	29.627	0.249
end	29.899	0.096
the	30.179	0.105
wire	30.474	0.094
different	30.592	0.26899999999999835
ends	30.886	0.373
battery	31.284	1.4620000000000033
piece	34.839	0.3100000000000023
wire	35.173	0.43299999999999983
battery	35.633	0.234
make	35.891	0.214
circle	36.14	0.171
circular	36.347	1.1069999999999993
path	36.702	0.15
or	36.882	0.165
one	40.06	0.263
of	40.344	0.242
battery	40.622	0.141
positive	40.867	0.031
the	41.113	0.08
end	41.388	0.19
negative	41.596	0.7379999999999995
the	42.391	0.334
electrons	44.18	0.255
will	44.461	0.227
flow	44.711	0.185
this	44.923	0.196
circuit	45.144	0.228
through	45.397	0.285
wire	45.705	1.0600000000000023
you	48.4	0.269
just	48.7	0.184
created	48.907	0.164
simple	49.094	0.269
electrical	49.389	0.156
circuit	49.727	0.6160000000000068
removing	51.887	0.29699999999999704
wire	52.209	0.291
from	52.523	0.22
will	52.779	0.196
stop	53.001	0.166
flow	53.188	0.127
electrons	53.47	0.554000000000002
now	55.69	0.29
that	56.014	0.208
want	56.244	0.157
connect	56.572	0.025
the	56.803	0.134
to	57.107	1.4370000000000047
lightbulb	57.321	0.8120000000000047
first	60.01	0.271
wire	60.305	0.18999999999999773
cut	60.516	0.257
middle	60.798	0.146
and	61.127	1.3669999999999973
breaks	61.328	0.9179999999999993
circuit	62.53	0.9849999999999994
then	65.214	0.239
lightbulb	65.476	0.159
is	65.661	0.108
reconnect	65.955	0.2839999999999918
the	66.265	0.163
circuit	66.624	1.5220000000000056
the	69.584	0.23099999999999454
electrical	69.841	0.18
circuit	70.041	0.226
complete	70.288	0.128
again	70.609	0.259
electrons	70.898	0.383
are	71.304	0.42
flowing	71.931	0.6010000000000133
electricity	74.338	0.23099999999999454
now	74.598	0.3020000000000067
through	74.928	0.208
lightbulb	75.174	0.242
lighting	75.44	0.16
it	75.788	0.024
up	76.016	0.194
if	78.124	0.223
circuit	78.37	0.222
is	78.616	0.239
broken	78.874	0.214
lightbulb	79.114	0.25900000000000034
will	79.407	0.223
go	79.796	0.757000000000005
you	82.211	0.213
also	82.441	0.276
add	82.737	0.257
switch	83.02	0.152
the	83.198	0.6500000000000057
break	83.887	0.34499999999999886
or	84.26	0.401
connect	84.677	0.826999999999984
this	86.948	0.221
allows	87.187	0.174
to	87.38	0.193
on	87.686	1.0339999999999918
turn	87.946	0.273
the	88.247	0.9439999999999884
lightbulb	89.219	0.314
simple	90.985	0.44599999999999795
contains	91.774	0.261
several	92.07	0.282
parts	92.375	0.537
these	94.354	0.318
include	94.692	0.196
source	94.914	1.0130000000000052
path	95.235	1.6219999999999999
resistor	96.892	1.3230000000000075
source	99.904	0.24
provides	100.166	0.182
energy	100.498	0.055
an	100.74	0.52
to	101.27	0.201
electrical	101.494	1.2959999999999923
circuit	101.884	1.203000000000003
example	104.844	0.247
above	105.129	0.14
source	105.434	0.15
the	105.748	0.138
battery	106.107	0.363
differ	108.184	0.526
voltage	108.733	0.20399999999999352
voltage	108.733	2.309999999999988
electric	108.973	0.15000000000000568
potential	109.304	1.3149999999999977
or	109.767	0.3259999999999934
force	110.101	0.295
the	114.787	0.211
path	115.021	0.191
the	115.236	0.2469999999999999
loop	115.507	0.337
wires	115.867	0.343
connect	116.35	0.08199999999999363
to	116.627	0.17
source	116.958	0.084
the	117.27	0.222
closed	117.827	0.272
with	118.136	0.17
electrons	120.46	0.212
flow	120.692	0.215
through	120.93	0.176
path	121.247	0.12
electric	121.467	0.13
currents	121.789	1.1310000000000002
electric	124.418	0.256
currents	124.699	0.206
increase	124.939	1.257000000000005
with	125.218	0.305
increased	125.534	0.907999999999987
voltage	126.477	0.143
the	128.065	0.233
resistor	128.327	0.171
is	128.517	0.365
that	128.922	0.334
reduces	129.292	0.163
electric	129.478	1.4379999999999882
current	129.847	1.3220000000000027
device	131.228	0.077
creates	132.802	0.38400000000001455
resistance	133.222	0.216
impedance	133.463	1.6090000000000089
in	133.775	0.128
electrical	133.937	0.13599999999999568
or	134.534	0.372
circuit	135.388	0.7270000000000039
our	137.793	0.234
above	138.065	0.188
resistor	138.294	0.197
the	138.526	0.231
lightbulb	138.774	0.7789999999999964
electric	141.045	0.286
currents	141.364	0.2259999999999991
decrease	141.621	0.20900000000000318
with	141.867	1.0200000000000102
resistance	142.133	0.5080000000000098
increased	143.531	0.233
