	text	onset	duration
0	could	9.554	0.2629999999999999
1	humans	9.851	0.3429999999999982
2	live	10.217	0.15
3	mars	10.401	0.4089999999999989
4	day	10.849	0.4640000000000004
5	scientists	13.173	0.7850000000000001
6	this	13.982	0.178
7	question	14.183	0.368
8	because	14.58	0.6829999999999998
9	earth	14.821	0.261
10	and	15.294	0.277
11	are	15.594	0.6070000000000011
12	similar	15.723	0.266
13	earth	18.123	1.1379999999999981
14	day	18.481	1.0319999999999965
15	mars	19.548	0.193
16	is	19.766	0.339
17	about	20.127	1.4150000000000027
18	24	20.32	0.21499999999999986
19	hours	20.561	0.16400000000000148
20	long	20.757	0.127
21	planets	23.342	0.9640000000000022
22	also	23.55	0.375
23	both	23.949	0.195
24	near	24.332	0.229
25	the	24.584	0.184
26	sun	24.79	0.348
27	our	25.165	0.8100000000000023
28	solar	25.418	0.201
29	earth	28.187	0.36699999999999733
30	the	28.591	0.282
31	3rd	28.894	0.14199999999999946
32	planet	29.096	0.15000000000000213
33	mars	29.286	0.255
34	the	29.563	0.157
35	4th	29.744	0.257
36	planet	30.026	0.127
37	the	30.178	0.228
38	sun	30.43	0.155
39	is	30.956	0.1750000000000007
40	an	33.903	0.6820000000000022
41	axial	34.23	0.8290000000000006
42	tilt	35.076	0.24
43	similar	35.332	0.4720000000000013
44	earth	35.832	0.233
45	axial	36.088	1.134999999999998
46	tilt	36.525	0.025
47	axial	39.244	0.44700000000000273
48	gives	39.723	0.7860000000000014
49	planets	40.179	0.7650000000000006
50	seasons	40.974	0.7209999999999965
51	with	41.293	0.15
52	temperature	41.774	1.009999999999998
53	changes	42.368	0.068
54	tilt	42.839	0.23
55	earth	45.256	0.9679999999999964
56	like	45.496	0.1559999999999988
57	just	45.68	0.152
58	has	46.253	0.23
59	cold	46.536	0.105
60	winters	46.712	1.5330000000000013
61	warmer	47.169	0.35600000000000165
62	summers	47.548	0.20000000000000284
63	earth	50.064	0.7579999999999956
64	like	50.208	0.29299999999999926
65	mars	50.847	0.18500000000000227
66	winds	51.052	0.6099999999999994
67	weather	51.687	0.267000000000003
68	storms	51.978	0.6850000000000023
69	and	52.692	0.1739999999999995
70	volcanoes	52.912	0.42900000000000205
71	but	57.092	0.2959999999999994
72	some	57.423	0.09799999999999898
73	in	57.705	0.061
74	earth	57.938	0.830999999999996
75	and	58.227	0.3190000000000026
76	mars	58.794	0.2469999999999999
77	different	59.067	0.4540000000000006
78	ways	60.548	0.135
79	are	61.303	0.053
80	differences	62.797	0.3950000000000031
81	include	63.231	0.28699999999999903
82	temperature	63.546	0.28999999999999915
83	length	63.862	0.338
84	year	64.223	0.236
85	a	64.479	0.243
86	gravity	64.755	0.5619999999999976
87	the	67.901	0.061
88	average	67.976	0.288
89	temperature	68.288	0.382000000000005
90	81	68.825	0.28300000000000125
91	deg	69.198	0.18500000000000227
92	f	69.402	0.21399999999999864
93	mars	69.642	0.4380000000000024
94	57	70.107	1.338000000000008
95	deg	70.497	0.287
96	on	70.806	0.173
97	earth	70.997	0.106
98	on	72.441	0.226
99	a	74.122	0.222
100	martian	74.369	0.4440000000000026
101	year	74.838	0.187
102	almost	75.051	0.23900000000000432
103	twice	75.316	0.251
104	long	75.595	0.236
105	earth	75.866	0.9520000000000124
106	year	76.84	0.215
107	is	77.568	0.185
108	earth	79.277	0.2540000000000049
109	gravity	79.557	0.4170000000000016
110	is	80.002	0.317
111	3	80.457	0.049
112	stronger	80.53	0.47400000000000375
113	martian	81.032	0.6099999999999994
114	gravity	81.665	0.194
115	than	82.493	0.215
116	almost	82.747	0.122
117	given	84.314	0.33499999999999375
118	the	84.686	0.3709999999999951
119	humans	85.09	0.37300000000000466
120	to	85.503	0.496
121	live	86.028	0.391
122	there	86.524	0.31799999999999784
123	similarities	87.366	0.225
124	go	87.956	0.191
125	mars	88.171	0.439
126	scientists	90.123	2.1629999999999967
127	nasa	90.33	0.037
128	want	90.956	0.23399999999999466
129	answer	91.228	0.03300000000000125
130	question	91.513	0.21699999999999875
131	nasa	94.439	0.406
132	oversees	94.872	0.7639999999999958
133	research	95.665	0.3760000000000048
134	space	96.067	0.421
135	exploration	96.511	1.6770000000000067
136	nasa	99.762	0.29399999999999693
137	scientists	100.076	0.39700000000000557
138	devices	100.511	1.1260000000000048
139	send	100.906	0.3329999999999984
140	called	101.661	0.165
141	spacecraft	101.851	0.7260000000000133
142	explore	102.605	0.7809999999999917
143	mars	102.914	0.251
144	the	105.031	0.4749999999999943
145	spacecraft	105.526	0.9609999999999985
146	carry	106.008	0.8200000000000074
147	rovers	106.853	0.5930000000000035
148	that	107.471	0.2120000000000033
149	rove	107.706	0.195
150	or	107.92	1.1280000000000001
151	move	108.133	1.0730000000000075
152	around	108.392	0.9860000000000042
153	wheeled	111.736	1.0449999999999875
154	these	111.958	0.41199999999999193
155	rovers	112.81	0.299
156	explore	113.341	0.3850000000000051
157	characteristics	113.752	0.402000000000001
158	the	114.191	0.5960000000000036
159	can	117.007	0.7079999999999842
160	pictures	117.74	0.286
161	of	118.051	0.18300000000000693
162	mountains	118.259	0.4380000000000024
163	plains	118.721	0.206
164	and	118.949	2.0190000000000055
165	storms	119.215	0.3509999999999991
166	dust	120.989	0.30999999999998806
167	of	123.143	0.8049999999999926
168	these	123.311	1.5779999999999887
169	one	124.374	0.323
170	nasa	124.909	0.2510000000000048
171	rovers	125.183	0.2600000000000051
172	named	125.475	0.2609999999999957
173	curiosity	125.757	1.6910000000000025
174	curiosity	125.757	3.5249999999999773
175	found	129.317	0.7760000000000105
176	evidence	129.612	0.26
177	that	130.122	1.228999999999985
178	soil	130.302	0.7490000000000236
179	on	130.489	0.269
180	mars	130.777	1.1599999999999966
181	contains	131.963	0.311
182	2	132.298	0.8700000000000045
183	water	132.548	0.213
184	nasa	135.222	0.28
185	has	135.527	0.28
186	planned	135.828	0.216
187	new	136.068	0.283
188	mission	136.375	0.258
189	called	136.66	1.3170000000000073
190	mars	136.97	1.2280000000000086
191	2020	137.222	1.099000000000018
192	this	139.759	0.3650000000000091
193	mission	140.154	0.182
194	will	140.371	0.18600000000000705
195	a	140.581	0.211
196	carsized	140.815	1.2549999999999955
197	use	141.293	0.3
198	rover	142.095	0.355
199	examine	142.482	0.5030000000000143
200	rover	144.796	0.21
201	the	145.311	0.249
202	will	145.588	0.2599999999999909
203	contain	145.871	0.219
204	additional	146.116	0.338
205	instruments	146.481	0.371
206	study	146.88	0.5309999999999775
207	new	147.701	0.239
208	example	149.383	0.089
209	for	149.493	0.317
210	one	149.849	0.8220000000000027
211	instrument	150.154	0.7230000000000132
212	take	150.906	1.4939999999999998
213	images	151.103	0.42499999999998295
214	will	151.778	0.234
215	beneath	152.429	0.26300000000000523
216	mars	152.716	0.1810000000000116
217	surface	152.92	0.3470000000000084
218	another	156.422	0.20599999999998886
219	instrument	156.66	0.39400000000000546
220	will	157.078	0.1769999999999925
221	attempt	157.279	0.26499999999998636
222	make	157.568	0.424
223	oxygen	158.016	0.211
224	carbon	158.251	0.5889999999999986
225	dioxide	158.865	0.279
226	mars	162.093	0.5409999999999968
227	will	162.67	0.24199999999999022
228	scientists	162.935	0.3990000000000009
229	answer	163.358	0.159
230	important	163.542	0.261
231	questions	163.83	0.331
232	whether	165.88	1.085000000000008
233	explore	166.011	0.143
234	will	166.174	0.21
235	it	166.405	0.245
236	there	166.99	1.1870000000000118
237	has	167.248	0.257
238	life	167.528	0.243
239	mars	167.801	0.18
240	will	169.616	0.183
241	it	169.821	0.236
242	also	170.092	0.264
243	whether	170.38	0.39200000000002433
244	humans	170.796	0.143
245	live	170.976	0.293
246	mars	171.294	0.27
247	the	171.602	0.4970000000000141
248	answer	172.161	0.185
