onset	duration	RECORDING_SESSION_LABEL	CURRENT_FIX_ADJUSTED	CURRENT_FIX_INTEREST_AREA_ID	CURRENT_FIX_START	SentenceID	SentenceRT	TRUEOffset	TRUEOnset
#VALUE!	24	S15_2	FALSE	.	7	.	.	.	.
9611	109	S15_2	FALSE	.	74	t.02.01	4870	14407	9537
9770	226	S15_2	FALSE	3	233	t.02.01	4870	14407	9537
10027	178	S15_2	FALSE	.	490	t.02.01	4870	14407	9537
10211	164	S15_2	FALSE	1	674	t.02.01	4870	14407	9537
10418	175	S15_2	FALSE	4	881	t.02.01	4870	14407	9537
10628	87	S15_2	FALSE	5	1091	t.02.01	4870	14407	9537
10754	227	S15_2	FALSE	6	1217	t.02.01	4870	14407	9537
11017	286	S15_2	FALSE	8	1480	t.02.01	4870	14407	9537
11329	286	S15_2	FALSE	10	1792	t.02.01	4870	14407	9537
11641	289	S15_2	FALSE	7	2104	t.02.01	4870	14407	9537
11967	183	S15_2	FALSE	9	2430	t.02.01	4870	14407	9537
12189	222	S15_2	FALSE	10	2652	t.02.01	4870	14407	9537
12436	158	S15_2	FALSE	10	2899	t.02.01	4870	14407	9537
12638	153	S15_2	FALSE	6	3101	t.02.01	4870	14407	9537
12826	442	S15_2	FALSE	5	3289	t.02.01	4870	14407	9537
13296	317	S15_2	FALSE	3	3759	t.02.01	4870	14407	9537
13634	32	S15_2	FALSE	3	4097	t.02.01	4870	14407	9537
13686	203	S15_2	FALSE	3	4149	t.02.01	4870	14407	9537
13954	79	S15_2	FALSE	1	4417	t.02.01	4870	14407	9537
14268	32	S15_2	FALSE	2	4731	t.02.01	4870	14407	9537
14338	72	S15_2	FALSE	3	4801	t.02.01	4870	14407	9537
#VALUE!	4	S15_2	FALSE	.	7	.	.	.	.
#VALUE!	4	S15_2	FALSE	.	94	.	.	.	.
15942	102	S15_2	FALSE	.	0	t.02.02	5440	21382	15942
16212	26	S15_2	FALSE	1	270	t.02.02	5440	21382	15942
16261	74	S15_2	FALSE	1	319	t.02.02	5440	21382	15942
16419	67	S15_2	FALSE	.	477	t.02.02	5440	21382	15942
16808	45	S15_2	FALSE	1	866	t.02.02	5440	21382	15942
16987	113	S15_2	FALSE	3	1045	t.02.02	5440	21382	15942
17124	241	S15_2	FALSE	4	1182	t.02.02	5440	21382	15942
17391	224	S15_2	FALSE	6	1449	t.02.02	5440	21382	15942
17637	96	S15_2	FALSE	7	1695	t.02.02	5440	21382	15942
17768	222	S15_2	FALSE	8	1826	t.02.02	5440	21382	15942
18017	338	S15_2	FALSE	10	2075	t.02.02	5440	21382	15942
18381	325	S15_2	FALSE	8	2439	t.02.02	5440	21382	15942
18808	196	S15_2	FALSE	1	2866	t.02.02	5440	21382	15942
19038	347	S15_2	FALSE	1	3096	t.02.02	5440	21382	15942
19481	165	S15_2	FALSE	4	3539	t.02.02	5440	21382	15942
19725	21	S15_2	FALSE	4	3783	t.02.02	5440	21382	15942
19772	163	S15_2	FALSE	4	3830	t.02.02	5440	21382	15942
19975	235	S15_2	FALSE	6	4033	t.02.02	5440	21382	15942
20246	201	S15_2	FALSE	7	4304	t.02.02	5440	21382	15942
20491	231	S15_2	FALSE	8	4549	t.02.02	5440	21382	15942
20895	248	S15_2	FALSE	10	4953	t.02.02	5440	21382	15942
21196	275	S15_2	FALSE	3	5254	t.02.02	5440	21382	15942
#VALUE!	87	S15_2	FALSE	.	7	.	.	.	.
22897	192	S15_2	FALSE	.	0	t.02.03	4963	27860	22897
23123	150	S15_2	FALSE	2	226	t.02.03	4963	27860	22897
23298	182	S15_2	FALSE	.	401	t.02.03	4963	27860	22897
23505	127	S15_2	FALSE	.	608	t.02.03	4963	27860	22897
23658	184	S15_2	FALSE	2	761	t.02.03	4963	27860	22897
23878	174	S15_2	FALSE	4	981	t.02.03	4963	27860	22897
24089	172	S15_2	FALSE	5	1192	t.02.03	4963	27860	22897
24295	178	S15_2	FALSE	7	1398	t.02.03	4963	27860	22897
24505	118	S15_2	FALSE	7	1608	t.02.03	4963	27860	22897
24649	249	S15_2	FALSE	8	1752	t.02.03	4963	27860	22897
25080	611	S15_2	FALSE	10	2183	t.02.03	4963	27860	22897
25730	183	S15_2	FALSE	7	2833	t.02.03	4963	27860	22897
26155	375	S15_2	FALSE	5	3258	t.02.03	4963	27860	22897
26567	210	S15_2	FALSE	7	3670	t.02.03	4963	27860	22897
26799	249	S15_2	FALSE	7	3902	t.02.03	4963	27860	22897
27085	237	S15_2	FALSE	8	4188	t.02.03	4963	27860	22897
27373	175	S15_2	FALSE	3	4476	t.02.03	4963	27860	22897
27577	374	S15_2	FALSE	2	4680	t.02.03	4963	27860	22897
#VALUE!	87	S15_2	FALSE	.	7	.	.	.	.
29403	287	S15_2	FALSE	.	0	t.02.04	4760	34163	29403
29720	210	S15_2	FALSE	2	317	t.02.04	4760	34163	29403
29968	163	S15_2	FALSE	4	565	t.02.04	4760	34163	29403
30168	187	S15_2	FALSE	7	765	t.02.04	4760	34163	29403
